,POI,rating,category1,category2,latitude,longitude,price,city,street,postCode
2017,Bier Markt,3.0,bars,Bars,43.647095161326,-79.373915180044,$$,Toronto,58 The Esplanade,M5E 1R2
2018,The Keg Steakhouse + Bar - York Street,4.0,steak,Steakhouses,43.650011481693866,-79.38395891300931,$$$,Toronto,165 York Street,M5H 3R8
2019,Pearl Diver,4.0,seafood,Seafood,43.65163,-79.37375,$$,Toronto,100 Adelaide Street E,M5C 1K9
2020,Her Father's Cider Bar & Kitchen,4.5,gastropubs,Gastropubs,43.66232,-79.40453,$$,Toronto,119 Harbord Street,M5S 1G7
2021,Rasa,4.5,newcanadian,Canadian (New),43.6627752,-79.4039682,$$,Toronto,196 Robert Street,M5S 2K8
2022,Bar Raval,4.0,spanish,Spanish,43.6558432,-79.4099433,$$$,Toronto,505 College Street,M6G 2J3
2023,Yasu,4.5,japanese,Japanese,43.66269,-79.40314,$$$$,Toronto,81 Harbord Street,M5S 1G4
2024,Saigon Lotus,4.5,vietnamese,Vietnamese,43.65449,-79.39928,$$,Toronto,6 St Andrew Street,M5T 1K6
2025,Koh Lipe,4.0,thai,Thai,43.65586,-79.39347,$$,Toronto,35 Baldwin Street,M5T 1L1
2026,Dzo Viet Eatery,4.0,vietnamese,Vietnamese,43.65445,-79.39178,$$,Toronto,308 Dundas Street W,M5T 1G4
2027,Pig Out BBQ,4.0,bbq,Barbeque,43.66317,-79.40253,$$,Toronto,650 Spadina Avenue,M5S 2H7
2028,Seven Lives Tacos y Mariscos,4.5,mexican,Mexican,43.6544903,-79.4008299,$,Toronto,72 Kensington Avenue,M5T 2K1
2029,Piano Piano,3.5,italian,Italian,43.66303229653549,-79.40288046153165,$$$,Toronto,88 Harbord Street,M5S 1G5
2030,Gyubee Japanese Grill - Bloor,4.0,bbq,Barbeque,43.66716,-79.40047,$$$,Toronto,335 Bloor Street W,M5S 1W7
2031,Ramen Isshin,4.5,ramen,Ramen,43.65634,-79.40689,$$,Toronto,421 College Street,M5T 1T1
2032,Trattoria Nervosa,4.0,italian,Italian,43.67101,-79.39104,$$,Toronto,75 Yorkville Avenue,M5R 1B8
2033,Fresco's Fish & Chips,4.5,fishnchips,Fish & Chips,43.6538341,-79.4015484,$$,Toronto,201 Augusta Avenue,M5T 2L4
2034,Grey Gardens,4.5,wine_bars,Wine Bars,43.6537999,-79.40143,$$$,Toronto,199 Augusta Avenue,M5T 2L4
2035,PLANTA Yorkville,4.0,vegetarian,Vegetarian,43.67028,-79.38945,$$,Toronto,1221 Bay Street,M5R 3P5
2036,Prenup Pub,3.5,gastropubs,Gastropubs,43.65868,-79.3947601,$$,Toronto,191 College Street,M5T 1P9
2037,The Oxley,4.0,pubs,Pubs,43.67059,-79.39304,$$,Toronto,121 Yorkville Avenue,M5R 1C4
2038,Gyubee Japanese Grill - Dundas,4.5,japanese,Japanese,43.6551427,-79.3857634,$$$,Toronto,157 Dundas St W,M5B 1E4
2039,The House On Parliament,4.0,british,British,43.66359,-79.36794,$$,Toronto,454 Parliament Street,M5A 3A2
2040,Stout Irish Pub,4.0,irish_pubs,Irish Pub,43.6639,-79.36894,$$,Toronto,221 Carlton Street,M5A 2L2
2041,Cafe Oro Di Napoli,4.5,pizza,Pizza,43.6514257145518,-79.3721591972351,$$,Toronto,75 Jarvis Street,M5C 2H2
2042,Zakkushi On Carlton,4.0,japanese,Japanese,43.66343,-79.37062,$$$,Toronto,193 Carlton Street,M5A 2K9
2043,George Restaurant,4.5,newcanadian,Canadian (New),43.65337263523713,-79.37432933100068,$$$$,Toronto,111 Queen Street E,M5C 1S2
2044,The Keg Steakhouse + Bar,4.0,steak,Steakhouses,43.6668345,-79.3779253,$$$,Toronto,515 Jarvis Street,M4Y 2H7
2045,Pearl Diver,4.0,seafood,Seafood,43.65163,-79.37375,$$,Toronto,100 Adelaide Street E,M5C 1K9
2046,Saigon PAI,4.5,thai,Thai,43.663435,-79.367799,$$,Toronto,446 Parliament Street,M5A 3A2
2047,The Carbon Bar,4.0,bbq,Barbeque,43.653088,-79.374829,$$$,Toronto,99 Queen Street East,M5C 1S2
2048,Souk Tabule,4.5,mideastern,Middle Eastern,43.653832,-79.354442,$$,Toronto,494 Front Street E,M5A 1H7
2049,Mengrai Thai,4.0,thai,Thai,43.6541,-79.366917,$$,Toronto,82 Ontario Street,M5A 2V3
2050,Hokkaido Ramen Santouka,4.0,ramen,Ramen,43.656321731393,-79.377499580039,$$,Toronto,91 Dundas Street E,M5B 2C8
2051,Cluny Bistro & Boulangerie,3.5,french,French,43.6505879,-79.3578962,$$$,Toronto,35 Tank House Lane,M5A 3C4
2052,Roselle,4.5,bakeries,Bakeries,43.6535912,-79.3621063,$$,Toronto,362 King Street E,M5A 1K9
2053,Egg Club,4.5,coffee,Coffee & Tea,43.65655,-79.37793,$,Toronto,88 Dundas Street E,M5B 1C9
2054,The Poke Box,4.5,salad,Salad,43.6505,-79.37657,$$,Toronto,36 Toronto Street,M5C 2C5
2055,Madrina Bar y Tapas,4.0,tapas,Tapas Bars,43.64971833602106,-79.35967868465576,$$,Toronto,2 Trinity Street,M5A 3C4
2056,Cluny Bistro & Boulangerie,3.5,french,French,43.6505879,-79.3578962,$$$,Toronto,35 Tank House Lane,M5A 3C4
2057,Cluck Clucks,4.5,chickenshop,Chicken Shop,43.6497687124273,-79.3660896960711,$$,Toronto,222 The Esplanade,M5A 4M8
2058,El Catrin Destileria,3.5,mexican,Mexican,43.65052,-79.35883,$$$,Toronto,18 Tank House Lane,M5A 3C4
2059,Cacao 70,3.5,breakfast_brunch,Breakfast & Brunch,43.6502371,-79.3612935,$$,Toronto,28 Gristmill Lane,M5A 3C4
2060,Pure Spirits,3.0,seafood,Seafood,43.650404,-79.358722,$$$,Toronto,17 Tank House Lane,M5A 3C4
2061,Cafe Oro Di Napoli,4.5,pizza,Pizza,43.6514257145518,-79.3721591972351,$$,Toronto,75 Jarvis Street,M5C 2H2
2062,Roselle,4.5,bakeries,Bakeries,43.6535912,-79.3621063,$$,Toronto,362 King Street E,M5A 1K9
2063,BOKU,3.5,ramen,Ramen,43.65006,-79.36022,$$,Toronto,42 Gristmill Lane,M5A 3C4
2064,George Restaurant,4.5,newcanadian,Canadian (New),43.65337263523713,-79.37432933100068,$$$$,Toronto,111 Queen Street E,M5C 1S2
2065,Archeo,3.0,italian,Italian,43.6506799168741,-79.3595404809133,$$,Toronto,31 Trinity Street,M5A 3C4
2066,Pearl Diver,4.0,seafood,Seafood,43.65163,-79.37375,$$,Toronto,100 Adelaide Street E,M5C 1K9
2067,Rooster Coffee House,4.5,coffee,Coffee & Tea,43.6517878,-79.3654866,$,Toronto,343 King Street E,M5A
2068,Mengrai Thai,4.0,thai,Thai,43.6541,-79.366917,$$,Toronto,82 Ontario Street,M5A 2V3
2069,White Lily Diner,4.5,breakfast_brunch,Breakfast & Brunch,43.65881,-79.3511599,$$,Toronto,678 Queen Street E,M4M 1G8
2070,Arvo Coffee,4.5,coffee,Coffee & Tea,43.64991,-79.3612,$$,Toronto,17 Gristmill Lane,M5A 3C4
2071,The Oxley,4.0,pubs,Pubs,43.67059,-79.39304,$$,Toronto,121 Yorkville Avenue,M5R 1C4
2072,Hemingway's Restaurant,3.0,bars,Bars,43.67015,-79.39279,$$,Toronto,142 Cumberland St,M5R 1A8
2073,Sassafraz,3.5,french,French,43.6702957,-79.3910686,$$$,Toronto,100 Cumberland Street,M5R 1A6
2074,Trattoria Nervosa,4.0,italian,Italian,43.67101,-79.39104,$$,Toronto,75 Yorkville Avenue,M5R 1B8
2075,Bar Reyna,3.5,mediterranean,Mediterranean,43.6700299,-79.39335,$$,Toronto,158 Cumberland Street,M5R 1A8
2076,Dimmi Bar & Trattoria,3.5,italian,Italian,43.67017,-79.3927,$$,Toronto,140 Cumberland St,M5R 1A8
2077,STK Steakhouse,3.5,steak,Steakhouses,43.6703238,-79.3941847,$$$$,Toronto,153 Yorkville Avenue,M5R 1C4
2078,Cibo Wine Bar,3.0,wine_bars,Wine Bars,43.67047,-79.3936,$$$,Toronto,133 Yorkville Avenue,M5R 1C4
2079,Morton's The Steakhouse,4.0,steak,Steakhouses,43.66926693897807,-79.39504163699857,$$$$,Toronto,4 Avenue Road,M5R 2E8
2080,PLANTA Yorkville,4.0,vegetarian,Vegetarian,43.67028,-79.38945,$$,Toronto,1221 Bay Street,M5R 3P5
2081,Her Father's Cider Bar & Kitchen,4.5,gastropubs,Gastropubs,43.66232,-79.40453,$$,Toronto,119 Harbord Street,M5S 1G7
2082,Fieramosca,4.5,italian,Italian,43.66963,-79.39719,$$$,Toronto,36A Prince Arthur Avenue,M5R 1A9
2083,Opus Restaurant,4.0,wine_bars,Wine Bars,43.66921,-79.3972299,$$$$,Toronto,37 Prince Arthur Avenue,M5R 1B2
2084,Utsav,4.0,fooddeliveryservices,Food Delivery Services,43.67094,-79.39086,$$,Toronto,69 Yorkville Ave,M5R 1B8
2085,One Restaurant,3.5,newcanadian,Canadian (New),43.6708799,-79.39323,$$$$,Toronto,116 Yorkville Avenue,M5R 1C2
2086,Joso's,4.5,seafood,Seafood,43.6751099,-79.39607,$$$,Toronto,202 Davenport Road,M5R 1J2
2087,Nespresso Boutique Bar,4.0,coffee,Coffee & Tea,43.6697469,-79.3934129,$$,Toronto,159 Cumberland Street,M5R 1A2
2088,Gyubee Japanese Grill - Bloor,4.0,bbq,Barbeque,43.66716,-79.40047,$$$,Toronto,335 Bloor Street W,M5S 1W7
2089,Gusto 101,4.0,italian,Italian,43.645002131066,-79.400309337027,$$,Toronto,101 Portland Street,M5V 2N3
2090,Pai Northern Thai Kitchen,4.5,thai,Thai,43.64784,-79.38872,$$,Toronto,18 Duncan Street,M5H 3G8
2091,Sansotei Ramen,4.0,ramen,Ramen,43.63905,-79.3982599,$$,Toronto,115 Fort York Boulevard,M5V 0K2
2092,Hunters Landing,3.5,comfortfood,Comfort Food,43.64002,-79.39673,$$,Toronto,82 Fort York Blvd,M5V 4A6
2093,Chubby's Jamaican Kitchen,4.0,caribbean,Caribbean,43.64532,-79.40066,$$,Toronto,104 Portland Street,M5V 2N2
2094,Le Sélect Bistro,4.0,french,French,43.643905577145816,-79.39685231028895,$$$,Toronto,432 Wellington Street W,M5V 1E3
2095,Wvrst,4.0,german,German,43.64418555054,-79.401014855291,$$,Toronto,609 King Street W,M5V 1M5
2096,Mira,4.5,peruvian,Peruvian,43.64417,-79.39639,$$,Toronto,420A Wellington Street W,M5V 1E3
2097,Rodney's Oyster House,4.0,seafood,Seafood,43.644948,-79.396846,$$$,Toronto,469 King Street W,M5V 1K4
2098,The Morning After,3.5,breakfast_brunch,Breakfast & Brunch,43.64016441394448,-79.39714261165675,$$,Toronto,88 Fort York Boulevard,M5V 4A7
2099,Jacobs & Co. Steakhouse,4.5,steak,Steakhouses,43.64539876116,-79.3980279011192,$$$$,Toronto,12 Brant Street,M5V 1K4
2100,Pizzeria Libretto,4.0,pizza,Pizza,43.64432,-79.39874,$$,Toronto,545 King Street W,M5V 1M1
2101,Byblos,4.5,mediterranean,Mediterranean,43.647546,-79.388123,$$$$,Toronto,11 Duncan Street,M5V 3M2
2102,Ruby Soho,4.0,tradamerican,American (Traditional),43.64423,-79.40015,$$,Toronto,587 King St W,M5V 1M5
2103,The Haam,4.0,japanese,Japanese,43.64743,-79.39308,$$,Toronto,342 Adelaide St W,M5V 1R7
2104,Wilbur Mexicana,4.0,mexican,Mexican,43.64494,-79.39866,$$,Toronto,552 King Street W,M5V 1M3
2105,La Palette,4.0,french,French,43.64797,-79.40098,$$$,Toronto,492 Queen Street W,M5V 2B3
2106,Buca,4.0,italian,Italian,43.64462,-79.40045,$$$,Toronto,604 King Street W,M5V 1M6
2107,Lee,4.0,asianfusion,Asian Fusion,43.64723,-79.39931,$$$,Toronto,497 Richmond St W,M5V 1Y3
2108,Le Baratin,4.5,french,French,43.65007,-79.4351,$$,Toronto,1600 Dundas Street. W,M6K 1T8
2109,Antler Kitchen & Bar,4.5,newcanadian,Canadian (New),43.64985,-79.43059,$$$,Toronto,1454 Dundas Street West,M6J 1Y6
2110,Bellwoods Brewery,4.0,breweries,Breweries,43.64713,-79.42015,$$,Toronto,124-126 Ossington Avenue,M6J 1R5
2111,LOCAL Public Eatery - Liberty Village,4.0,sportsbars,Sports Bars,43.6384689262493,-79.4192124903202,$$,Toronto,171 E Liberty Street,M6K 3P6
2112,Union,4.0,french,French,43.64577,-79.41974,$$$,Toronto,72A Ossington Avenue,M6J 2Y7
2113,Drake's Corner Café + Bistro,3.5,breakfast_brunch,Breakfast & Brunch,43.64328,-79.42459,$$,Toronto,1150 Queen Street W,M6J 1J3
2114,Mamakas Taverna,4.0,greek,Greek,43.64596,-79.41986,$$$,Toronto,80 Ossington Avenue,M6J 2Y7
2115,Lao Thai Restaurant,4.5,thai,Thai,43.6426406,-79.4273649,$$,Toronto,4 Gladstone Avenue,M6J 3K6
2116,Nunu Ethiopian Fusion,4.0,ethiopian,Ethiopian,43.64296,-79.4256599,$$,Toronto,1178 Queen Street W,M6J 2J5
2117,La Banane,4.5,french,French,43.64904,-79.4203,$$$$,Toronto,227 Ossington Avenue,M6J 2Z8
2118,Death & Taxes Free House,4.0,tradamerican,American (Traditional),43.64311,-79.42496,$$,Toronto,1154 Queen Street W,M6J 1J5
2119,Gladstone House,3.5,hotels,Hotels,43.6426812337086,-79.4268306344748,$$,Toronto,1214 Queen Street W,M6J 1J6
2120,J's Steak Frites,4.0,steak,Steakhouses,43.64277418086487,-79.4265867,$$$,Toronto,1198 Queen Street W,M6J 1J6
2121,Fix Coffee + Bikes,5.0,coffee,Coffee & Tea,43.64497,-79.42835,$$,Toronto,80 Gladstone Avenue,M6J 3K9
2122,Hello 123,4.0,breakfast_brunch,Breakfast & Brunch,43.6433736,-79.4234717,$$,Toronto,1122 Queen Street W,M6J 1H9
2123,Good Fork,4.0,breakfast_brunch,Breakfast & Brunch,43.649878146252064,-79.43341616349892,$$,Toronto,1550 Dundas Street W,M6K 1T5
2124,Guu Izakaya Toronto,4.0,japanese,Japanese,43.6418673011168,-79.4310904074585,$$,Toronto,1314 Queen Street W,M6K 1L4
2125,Guu Izakaya Toronto,4.0,japanese,Japanese,43.6418673011168,-79.4310904074585,$$,Toronto,1314 Queen Street W,M6K 1L4
2126,The Shameful Tiki Room,4.0,tikibars,Tiki Bars,43.64145,-79.43328,$$,Toronto,1378 Queen Street W,M6K 1L7
2127,Skyline Restaurant,4.0,bars,Bars,43.64109,-79.4351499,$$,Toronto,1426 Queen Street W,M6K 1L9
2128,Mother India,4.0,indpak,Indian,43.6409499,-79.43624,$$,Toronto,1456 Queen Street W,M6K 1M2
2129,Miss Things,3.5,cocktailbars,Cocktail Bars,43.6414601,-79.431879,$$$,Toronto,1279 Queen Street W,M6K 1L6
2130,OM Restaurant and Bar,4.0,indpak,Indian,43.6402,-79.43756,$$,Toronto,1439 Queen Street W,M6R 1A1
2131,Antler Kitchen & Bar,4.5,newcanadian,Canadian (New),43.64985,-79.43059,$$$,Toronto,1454 Dundas Street West,M6J 1Y6
2132,Ali's West Indian Roti Shop,4.0,caribbean,Caribbean,43.64101,-79.43599,$,Toronto,1446 Queen Street W,M6K 1M2
2133,Garleek Kitchen,4.5,asianfusion,Asian Fusion,43.64046,-79.43811,$$,Toronto,1500 Queen Street W,M6R 1A4
2134,Craig's Cookies,4.0,desserts,Desserts,43.64177369999999,-79.4316097,$,Toronto,1332 Queen Street W,M6K 1L4
2135,Good Fork,4.0,breakfast_brunch,Breakfast & Brunch,43.649878146252064,-79.43341616349892,$$,Toronto,1550 Dundas Street W,M6K 1T5
2136,Enoteca Sociale,4.0,italian,Italian,43.6496799,-79.42567,$$$,Toronto,1288 Dundas St W,M6J 1X7
2137,Levetto,4.0,italian,Italian,43.64152,-79.4221,$$,Toronto,68 Sudbury Street,M6J 3S7
2138,Capital Espresso,4.0,coffee,Coffee & Tea,43.64077,-79.43456,$,Toronto,1349 Queen Street W,M6K 2S1
2139,The Rhino,3.0,bars,Bars,43.64157,-79.4305399,$$,Toronto,1249 Queen Street W,M6K 1L5
2140,Gladstone House,3.5,hotels,Hotels,43.6426812337086,-79.4268306344748,$$,Toronto,1214 Queen Street W,M6J 1J6
2141,Guu Izakaya Toronto,4.0,japanese,Japanese,43.6418673011168,-79.4310904074585,$$,Toronto,1314 Queen Street W,M6K 1L4
2142,Le Baratin,4.5,french,French,43.65007,-79.4351,$$,Toronto,1600 Dundas Street. W,M6K 1T8
2143,Death & Taxes Free House,4.0,tradamerican,American (Traditional),43.64311,-79.42496,$$,Toronto,1154 Queen Street W,M6J 1J5
2144,Drake's Corner Café + Bistro,3.5,breakfast_brunch,Breakfast & Brunch,43.64328,-79.42459,$$,Toronto,1150 Queen Street W,M6J 1J3
2145,Hello 123,4.0,breakfast_brunch,Breakfast & Brunch,43.6433736,-79.4234717,$$,Toronto,1122 Queen Street W,M6J 1H9
2146,Nunu Ethiopian Fusion,4.0,ethiopian,Ethiopian,43.64296,-79.4256599,$$,Toronto,1178 Queen Street W,M6J 2J5
2147,Antler Kitchen & Bar,4.5,newcanadian,Canadian (New),43.64985,-79.43059,$$$,Toronto,1454 Dundas Street West,M6J 1Y6
2148,The Good Son,4.0,pizza,Pizza,43.6436501,-79.4227676,$$$,Toronto,1096 Queen Street W,M6J 1H9
2149,Bar Poet,3.5,pizza,Pizza,43.643732,-79.4223358,$$,Toronto,1090 Queen Street W,M6J 1H7
2150,Bellwoods Brewery,4.0,breweries,Breweries,43.64713,-79.42015,$$,Toronto,124-126 Ossington Avenue,M6J 1R5
2151,LOCAL Public Eatery - Liberty Village,4.0,sportsbars,Sports Bars,43.6384689262493,-79.4192124903202,$$,Toronto,171 E Liberty Street,M6K 3P6
2152,Union,4.0,french,French,43.64577,-79.41974,$$$,Toronto,72A Ossington Avenue,M6J 2Y7
2153,Lao Thai Restaurant,4.5,thai,Thai,43.6426406,-79.4273649,$$,Toronto,4 Gladstone Avenue,M6J 3K6
2154,Mamakas Taverna,4.0,greek,Greek,43.64596,-79.41986,$$$,Toronto,80 Ossington Avenue,M6J 2Y7
2155,J's Steak Frites,4.0,steak,Steakhouses,43.64277418086487,-79.4265867,$$$,Toronto,1198 Queen Street W,M6J 1J6
2156,Imm Thai Kitchen,4.5,thai,Thai,43.65484,-79.41598,$$,Toronto,651 College Street,M6G 1B7
2157,Buk Chang Dong Soon Tofu,4.0,korean,Korean,43.66363,-79.4169299,$$,Toronto,691 Bloor Street W,M6G 1L3
2158,Bar Raval,4.0,spanish,Spanish,43.6558432,-79.4099433,$$$,Toronto,505 College Street,M6G 2J3
2159,Her Father's Cider Bar & Kitchen,4.5,gastropubs,Gastropubs,43.66232,-79.40453,$$,Toronto,119 Harbord Street,M5S 1G7
2160,Tofu Village - House of Soon Tofu,4.0,korean,Korean,43.66371,-79.4165699,$$,Toronto,681 Bloor Street W,M6G 4B9
2161,Paldo Gangsan,4.5,korean,Korean,43.664,-79.41743,$,Toronto,694 Bloor Street  W,M6G 1L4
2162,Korean Village Restaurant,4.0,korean,Korean,43.66461,-79.41444,$$,Toronto,628 Bloor Street W,M6G 1K7
2163,Daldongnae,4.5,korean,Korean,43.66434,-79.41566,$$$,Toronto,658 Bloor Street,M6G 1K9
2164,KINKA IZAKAYA ANNEX,4.0,japanese,Japanese,43.665157,-79.410658,$$,Toronto,559 Bloor St W,M5S 1Y6
2165,Ramen Isshin,4.5,ramen,Ramen,43.65634,-79.40689,$$,Toronto,421 College Street,M5T 1T1
2166,Bar Isabel,4.0,spanish,Spanish,43.654631,-79.4207738,$$$,Toronto,797 College Street,M6G 1C7
2167,Mapo Korean BBQ,4.0,bbq,Barbeque,43.6639096,-79.4177539,$$,Toronto,708 Bloor Street W,M6G 1L4
2168,Rasa,4.5,newcanadian,Canadian (New),43.6627752,-79.4039682,$$,Toronto,196 Robert Street,M5S 2K8
2169,Her Chef,4.5,asianfusion,Asian Fusion,43.66457,-79.41292,$$,Toronto,599 Bloor Street W,M6G 1K5
2170,La Bella Managua,4.5,latin,Latin American,43.66232,-79.42495,$$,Toronto,872 Bloor Street W,M6G 1M5
2171,Yummy Korean Food Restaurant,4.0,korean,Korean,43.66469,-79.4140199,$,Toronto,620 Bloor Street W,M6G 1K7
2172,Sunrise House,4.0,korean,Korean,43.66401,-79.41561,$$,Toronto,661 Bloor Street W,M6G 1L1
2173,MaMa Chef Korean Restaurant,4.0,korean,Korean,43.66444,-79.41534,$$,Toronto,648 Bloor Street W,M6G 1K9
2174,Selam Restaurant & Lounge,4.5,ethiopian,Ethiopian,43.66279,-79.42269,$$,Toronto,812 Bloor Street W,M6G 1L9
2175,Her Father's Cider Bar & Kitchen,4.5,gastropubs,Gastropubs,43.66232,-79.40453,$$,Toronto,119 Harbord Street,M5S 1G7
2176,Rasa,4.5,newcanadian,Canadian (New),43.6627752,-79.4039682,$$,Toronto,196 Robert Street,M5S 2K8
2177,Yasu,4.5,japanese,Japanese,43.66269,-79.40314,$$$$,Toronto,81 Harbord Street,M5S 1G4
2178,Bar Raval,4.0,spanish,Spanish,43.6558432,-79.4099433,$$$,Toronto,505 College Street,M6G 2J3
2179,KINKA IZAKAYA ANNEX,4.0,japanese,Japanese,43.665157,-79.410658,$$,Toronto,559 Bloor St W,M5S 1Y6
2180,Imm Thai Kitchen,4.5,thai,Thai,43.65484,-79.41598,$$,Toronto,651 College Street,M6G 1B7
2181,Ramen Isshin,4.5,ramen,Ramen,43.65634,-79.40689,$$,Toronto,421 College Street,M5T 1T1
2182,Harbord House,3.5,pubs,Pubs,43.66284306860238,-79.40442251238142,$$,Toronto,124 Harbord Street,M5S 1H2
2183,Insomnia Restaurant & Lounge,4.0,lounges,Lounges,43.665961,-79.411003,$$,Toronto,563 Bloor Street W,M5S 1Y6
2184,Saigon Lotus,4.5,vietnamese,Vietnamese,43.65449,-79.39928,$$,Toronto,6 St Andrew Street,M5T 1K6
2185,Korean Village Restaurant,4.0,korean,Korean,43.66461,-79.41444,$$,Toronto,628 Bloor Street W,M6G 1K7
2186,Piano Piano,3.5,italian,Italian,43.66303229653549,-79.40288046153165,$$$,Toronto,88 Harbord Street,M5S 1G5
2187,Bampot House of Tea & Board Games,4.0,tea,Tea Rooms,43.661540117732905,-79.40910267310011,$$,Toronto,201 Harbord Street,M5S 1H6
2188,Gyubee Japanese Grill - Bloor,4.0,bbq,Barbeque,43.66716,-79.40047,$$$,Toronto,335 Bloor Street W,M5S 1W7
2189,Fresco's Fish & Chips,4.5,fishnchips,Fish & Chips,43.6538341,-79.4015484,$$,Toronto,201 Augusta Avenue,M5T 2L4
2190,Almond Butterfly Harbord Bakeshop & Cafe,4.5,bakeries,Bakeries,43.6629326,-79.4033968,$,Toronto,100 Harbord Street,M5S 1G6
2191,Her Chef,4.5,asianfusion,Asian Fusion,43.66457,-79.41292,$$,Toronto,599 Bloor Street W,M6G 1K5
2192,Seven Lives Tacos y Mariscos,4.5,mexican,Mexican,43.6544903,-79.4008299,$,Toronto,72 Kensington Avenue,M5T 2K1
2193,Yummy Korean Food Restaurant,4.0,korean,Korean,43.66469,-79.4140199,$,Toronto,620 Bloor Street W,M6G 1K7
2194,Tallboys Craft Beer House,4.0,pubs,Pubs,43.66256,-79.42382,$$,Toronto,838 Bloor Street W,M6G 1M2
2195,La Bella Managua,4.5,latin,Latin American,43.66232,-79.42495,$$,Toronto,872 Bloor Street W,M6G 1M5
2196,Imm Thai Kitchen,4.5,thai,Thai,43.65484,-79.41598,$$,Toronto,651 College Street,M6G 1B7
2197,Terrazza,4.0,italian,Italian,43.6590509,-79.4223089,$$,Toronto,372 Harbord Street,M6G
2198,Le Baratin,4.5,french,French,43.65007,-79.4351,$$,Toronto,1600 Dundas Street. W,M6K 1T8
2199,Bar Isabel,4.0,spanish,Spanish,43.654631,-79.4207738,$$$,Toronto,797 College Street,M6G 1C7
2200,Northwood,4.0,cafes,Cafes,43.66248,-79.42204,$$,Toronto,815 W Bloor Street,M6G 1M1
2201,Selam Restaurant & Lounge,4.5,ethiopian,Ethiopian,43.66279,-79.42269,$$,Toronto,812 Bloor Street W,M6G 1L9
2202,The Caledonian,4.5,pubs,Pubs,43.65439,-79.42355,$$,Toronto,856 College Street,M6H 1A2
2203,Lalibela Ethiopian Restaurant,3.5,ethiopian,Ethiopian,43.662,-79.42474,$$,Toronto,869 Bloor Street W,M6G 1M4
2204,Little Sito,4.0,lebanese,Lebanese,43.66255,-79.42389,$$,Toronto,840 Bloor Street W,M6G 1M2
2205,Korean Village Restaurant,4.0,korean,Korean,43.66461,-79.41444,$$,Toronto,628 Bloor Street W,M6G 1K7
2206,KINKA IZAKAYA ANNEX,4.0,japanese,Japanese,43.665157,-79.410658,$$,Toronto,559 Bloor St W,M5S 1Y6
2207,Buk Chang Dong Soon Tofu,4.0,korean,Korean,43.66363,-79.4169299,$$,Toronto,691 Bloor Street W,M6G 1L3
2208,Takht-e Tavoos,4.5,persian,Persian/Iranian,43.6524676,-79.4329894,$$,Toronto,1120 College Street,M6H 1B5
2209,Tofu Village - House of Soon Tofu,4.0,korean,Korean,43.66371,-79.4165699,$$,Toronto,681 Bloor Street W,M6G 4B9
2210,Daldongnae,4.5,korean,Korean,43.66434,-79.41566,$$$,Toronto,658 Bloor Street,M6G 1K9
2211,Paldo Gangsan,4.5,korean,Korean,43.664,-79.41743,$,Toronto,694 Bloor Street  W,M6G 1L4
2212,Her Chef,4.5,asianfusion,Asian Fusion,43.66457,-79.41292,$$,Toronto,599 Bloor Street W,M6G 1K5
2213,Her Father's Cider Bar & Kitchen,4.5,gastropubs,Gastropubs,43.66232,-79.40453,$$,Toronto,119 Harbord Street,M5S 1G7
2214,Ramen Isshin,4.5,ramen,Ramen,43.65634,-79.40689,$$,Toronto,421 College Street,M5T 1T1
2215,Bar Raval,4.0,spanish,Spanish,43.6558432,-79.4099433,$$$,Toronto,505 College Street,M6G 2J3
2216,Rasa,4.5,newcanadian,Canadian (New),43.6627752,-79.4039682,$$,Toronto,196 Robert Street,M5S 2K8
2217,Imm Thai Kitchen,4.5,thai,Thai,43.65484,-79.41598,$$,Toronto,651 College Street,M6G 1B7
2218,KINKA IZAKAYA ANNEX,4.0,japanese,Japanese,43.665157,-79.410658,$$,Toronto,559 Bloor St W,M5S 1Y6
2219,DaiLo,4.0,chinese,Chinese,43.65574,-79.4098,$$$,Toronto,503 College Street,M6G 1A5
2220,Saigon Lotus,4.5,vietnamese,Vietnamese,43.65449,-79.39928,$$,Toronto,6 St Andrew Street,M5T 1K6
2221,Korean Village Restaurant,4.0,korean,Korean,43.66461,-79.41444,$$,Toronto,628 Bloor Street W,M6G 1K7
2222,Seven Lives Tacos y Mariscos,4.5,mexican,Mexican,43.6544903,-79.4008299,$,Toronto,72 Kensington Avenue,M5T 2K1
2223,Sheherzade Persian Grill And Dizi,4.0,persian,Persian/Iranian,43.65689,-79.40698,$$,Toronto,422 College St W,M5T
2224,La Carnita,4.0,mexican,Mexican,43.656012010874,-79.4096839427948,$$,Toronto,501 College Street,M5S 2K2
2225,Bampot House of Tea & Board Games,4.0,tea,Tea Rooms,43.661540117732905,-79.40910267310011,$$,Toronto,201 Harbord Street,M5S 1H6
2226,Fresco's Fish & Chips,4.5,fishnchips,Fish & Chips,43.6538341,-79.4015484,$$,Toronto,201 Augusta Avenue,M5T 2L4
2227,Yasu,4.5,japanese,Japanese,43.66269,-79.40314,$$$$,Toronto,81 Harbord Street,M5S 1G4
2228,Bar Isabel,4.0,spanish,Spanish,43.654631,-79.4207738,$$$,Toronto,797 College Street,M6G 1C7
2229,The Pomegranate Restaurant,4.0,mideastern,Middle Eastern,43.6569,-79.40694,$$,Toronto,420 College Street,M5T 1T3
